행정구역,소멸위험지수_역수처리,다세대주택,단독주택,폐가계산값,폐가지수,방문자,방문자지수,가중치점수,최종점수
인천광역시 서구,0.0143067334565838,5753.0,136.0,1821.1,0.2708559530006693,176976250.5,0.4296264701082731,0.024848586068380585,17.280413987019667
경기도 과천시,0.0295796136189372,230.0,6.0,73.2,0.0108871867331003,42722785.0,0.0958013909364881,-0.011043153578989273,16.755763734654764
대구광역시 북구,0.0717705145979713,348.0,864.0,709.1999999999999,0.105480776381349,142614374.0,0.3441846820666557,-0.013074461999407871,16.726070928291122
경기도 군포시,0.0529586729376802,728.0,9.0,224.7,0.0334200937011973,81290849.5,0.1917019856605402,-0.01835032552908744,16.648950589196833
서울특별시 강서구,0.0313089089331538,4801.0,32.0,1462.7,0.2175503829850524,172582301.5,0.4187007903327907,-0.02820588704465521,16.504886164146892
경기도 구리시,0.0537925238157373,368.0,288.0,312.0,0.0464044024689521,94063235.0,0.22346088726409,-0.0387459480426372,16.350816015503707
경기도 의정부시,0.0586930725050581,1732.0,276.0,712.8,0.1060162117944523,135776126.5,0.3271811842084663,-0.04284837050828527,16.290848541008014
서울특별시 구로구,0.0586571235774817,2153.0,49.0,680.1999999999999,0.1011675466646835,135264769.5,0.3259096804124615,-0.05503110294346403,16.112766516859626
부산광역시 강서구,0.0428397708143078,127.0,121.0,122.79999999999998,0.0182642968691901,70039662.0,0.1637255863625713,-0.058459428046033324,16.062652712181347
광주광역시 광산구,0.010519233550304,270.0,1432.0,1083.4,0.1611363129322525,128228929.5,0.3084148631554723,-0.08082461976266708,15.735727809861066
서울특별시 중랑구,0.0642590100731727,681.0,19.0,217.6,0.0323640960809102,104665155.0,0.2498228643660734,-0.08125839012355274,15.72938713839897
울산광역시 북구,0.0194900274368386,203.0,303.0,273.0,0.0406038521603331,64737274.0,0.1505410470487648,-0.08182040043233735,15.721171909679702
경기도 오산시,0.0153229611602629,1235.0,75.0,423.0,0.0629136610396371,74517432.5,0.1748596906935733,-0.08436359246692077,15.683996605393375
서울특별시 성북구,0.0485133176875559,1133.0,539.0,717.1999999999999,0.1066706328549118,135729804.0,0.3270660019882357,-0.09155351697395653,15.578897333411518
경기도 시흥시,0.0137421747410511,3418.0,22.0,1040.8,0.1548003272105302,135421681.5,0.3262998465852893,-0.11948783783373251,15.170565259438124
경기도 남양주시,0.0680533873537233,2703.0,707.0,1305.8,0.1942143228973005,213858344.0,0.521334849752735,-0.11975979404495218,15.166589918698154
서울특별시 동작구,0.0325476777033544,848.0,505.0,607.9,0.090414218784859,121937956.0,0.2927721777403602,-0.15156331060937134,14.701699580265181
서울특별시 노원구,0.0717529170462133,474.0,524.0,509.0,0.075704618130438,170191640.5,0.4127563434268901,-0.2396342472313998,13.414315920996197
대구광역시 달서구,0.076369744147861,300.0,402.0,371.4,0.0552390867851565,165483962.0,0.401050566282703,-0.25453515147063144,13.196500812383846
서울특별시 강동구,0.0491756128096932,1452.0,6.0,439.8,0.0654123596341191,148226932.0,0.35814046795068,-0.27416579295053667,12.909548407521187
서울특별시 서대문구,0.0383407750333693,1229.0,286.0,568.9,0.08461366847624,149341321.5,0.3609114292936906,-0.27627797799181464,12.878673380959773
